atm_id,latitude,longitude,state,city,h3_cell_res8,h3_cell_res9,source
ATM000001,17.390471,78.496984,Maharashtra,Hyderabad,8860a25b05fffff,8960a25b053ffff,SYNTHETIC_REFERENCE
ATM000002,26.893644,80.959263,Uttar Pradesh,Lucknow,883d8dcc41fffff,893d8dcc41bffff,SYNTHETIC_REFERENCE
ATM000003,23.008097,72.544083,Rajasthan,Ahmedabad,8842ceb583fffff,8942ceb582bffff,SYNTHETIC_REFERENCE
ATM000004,22.622249,88.284634,West Bengal,Kolkata,883cf2d403fffff,893cf2d4033ffff,SYNTHETIC_REFERENCE
ATM000005,28.483563,77.12068,Uttar Pradesh,Delhi,883da10343fffff,893da103437ffff,SYNTHETIC_REFERENCE
ATM000006,28.616434,77.218734,Uttar Pradesh,Delhi,883da11405fffff,893da114043ffff,SYNTHETIC_REFERENCE
ATM000007,19.075346,72.883544,Maharashtra,Mumbai,88608b0b6dfffff,89608b0b6c3ffff,SYNTHETIC_REFERENCE
ATM000008,26.814779,75.76537,Rajasthan,Jaipur,883da25695fffff,893da256957ffff,SYNTHETIC_REFERENCE
ATM000009,18.525672,73.85851,Maharashtra,Pune,886088503bfffff,896088503a3ffff,SYNTHETIC_REFERENCE
ATM000010,22.906461,72.610217,Gujarat,Ahmedabad,8842cea521fffff,8942cea5217ffff,SYNTHETIC_REFERENCE
ATM000011,19.050328,72.939541,Maharashtra,Mumbai,88608b1927fffff,89608b19263ffff,SYNTHETIC_REFERENCE
ATM000012,26.852574,80.94867,Uttar Pradesh,Lucknow,883d8dcd5dfffff,893d8dcd5c7ffff,SYNTHETIC_REFERENCE
ATM000013,27.032157,75.775654,Rajasthan,Jaipur,883da211cbfffff,893da211ca3ffff,SYNTHETIC_REFERENCE
ATM000014,13.15353,77.599784,Karnataka,Bangalore,8860169703fffff,8960169702bffff,SYNTHETIC_REFERENCE
ATM000015,28.51676,77.076602,Uttar Pradesh,Delhi,883da111c7fffff,893da111c6bffff,SYNTHETIC_REFERENCE
ATM000016,28.561919,77.226341,Uttar Pradesh,Delhi,883da11533fffff,893da115327ffff,SYNTHETIC_REFERENCE
ATM000017,17.319333,78.49183,Maharashtra,Hyderabad,8860b5259bfffff,8960b5259a3ffff,SYNTHETIC_REFERENCE
ATM000018,22.574048,88.365366,West Bengal,Kolkata,883cf2c647fffff,893cf2c609bffff,SYNTHETIC_REFERENCE
ATM000019,13.059596,80.33307,Unknown,Chennai,88618c4843fffff,89618c48427ffff,SYNTHETIC_REFERENCE
ATM000020,12.991967,77.659653,Karnataka,Bangalore,8861892ee9fffff,8961892ee93ffff,SYNTHETIC_REFERENCE
ATM000021,18.52435,73.856122,Maharashtra,Pune,886088503bfffff,896088503a7ffff,SYNTHETIC_REFERENCE
ATM000022,28.593479,77.164782,Uttar Pradesh,Delhi,883da11549fffff,893da115497ffff,SYNTHETIC_REFERENCE
ATM000023,12.979893,77.58517,Karnataka,Bangalore,8860145b43fffff,8960145b43bffff,SYNTHETIC_REFERENCE
ATM000024,17.346535,78.380078,Maharashtra,Hyderabad,8860a25ab1fffff,8960a25ab07ffff,SYNTHETIC_REFERENCE
ATM000025,13.14125,80.248306,Tamil Nadu,Chennai,88618eb229fffff,89618eb2297ffff,SYNTHETIC_REFERENCE
ATM000026,22.979801,72.571833,Gujarat,Ahmedabad,8842cea755fffff,8942cea7543ffff,SYNTHETIC_REFERENCE
ATM000027,28.657003,77.15611,Uttar Pradesh,Delhi,883da11665fffff,893da116657ffff,SYNTHETIC_REFERENCE
ATM000028,22.714448,88.393608,West Bengal,Kolkata,883cf28a61fffff,893cf28a60fffff,SYNTHETIC_REFERENCE
ATM000029,22.550439,88.302822,West Bengal,Kolkata,883cf2d5a1fffff,893cf2d5a17ffff,SYNTHETIC_REFERENCE
ATM000030,19.096676,72.977862,Maharashtra,Mumbai,88608b562dfffff,89608b562cfffff,SYNTHETIC_REFERENCE
ATM000031,18.482824,73.887862,Maharashtra,Pune,8860885233fffff,89608852307ffff,SYNTHETIC_REFERENCE
ATM000032,28.676943,77.265774,Uttar Pradesh,Delhi,883da11683fffff,893da11682fffff,SYNTHETIC_REFERENCE
ATM000033,19.080439,72.877983,Maharashtra,Mumbai,88608b0b65fffff,89608b0b647ffff,SYNTHETIC_REFERENCE
ATM000034,26.865579,80.943993,Uttar Pradesh,Lucknow,883d8dcf33fffff,893d8dcf323ffff,SYNTHETIC_REFERENCE
ATM000035,26.884701,80.902428,Uttar Pradesh,Lucknow,883d8dcf47fffff,893d8dcf467ffff,SYNTHETIC_REFERENCE
ATM000036,26.868019,75.76491,Rajasthan,Jaipur,883da21989fffff,893da21989bffff,SYNTHETIC_REFERENCE
ATM000037,17.407404,78.464538,Maharashtra,Hyderabad,8860a25959fffff,8960a25959bffff,SYNTHETIC_REFERENCE
ATM000038,19.02996,72.970663,Maharashtra,Mumbai,88608b196dfffff,89608b196dbffff,SYNTHETIC_REFERENCE
ATM000039,18.542941,73.793392,Maharashtra,Pune,8860884251fffff,8960884251bffff,SYNTHETIC_REFERENCE
ATM000040,13.092123,80.239768,Tamil Nadu,Chennai,88618c48b3fffff,89618c48b27ffff,SYNTHETIC_REFERENCE
ATM000041,28.617964,77.199056,Uttar Pradesh,Delhi,883da11461fffff,893da114617ffff,SYNTHETIC_REFERENCE
ATM000042,13.082701,80.269912,Tamil Nadu,Chennai,88618c4885fffff,89618c48847ffff,SYNTHETIC_REFERENCE
ATM000043,19.057481,72.916707,Maharashtra,Mumbai,88608b56c3fffff,89608b56c2fffff,SYNTHETIC_REFERENCE
ATM000044,26.81305,80.976069,Uttar Pradesh,Lucknow,883d8dcd37fffff,893d8dcd367ffff,SYNTHETIC_REFERENCE
ATM000045,12.94473,77.617581,Karnataka,Bangalore,88618925ebfffff,89618925e33ffff,SYNTHETIC_REFERENCE
ATM000046,18.521641,73.879063,Maharashtra,Pune,8860885001fffff,8960885000bffff,SYNTHETIC_REFERENCE
ATM000047,17.385648,78.491722,Maharashtra,Hyderabad,8860a25b01fffff,8960a25b003ffff,SYNTHETIC_REFERENCE
ATM000048,22.525661,88.325028,West Bengal,Kolkata,883cf2c747fffff,893cf2c7477ffff,SYNTHETIC_REFERENCE
ATM000049,22.548461,88.339204,West Bengal,Kolkata,883cf2c759fffff,893cf2c7593ffff,SYNTHETIC_REFERENCE
