complaint_id,actual_withdrawal_id,actual_h3_cell,actual_atm_id,actual_withdrawal_timestamp,actual_withdrawal_amount,time_to_cashout_seconds,cashout_occurred
CMP00000001,WDR00000001,8860021297fffff,ATM001674,2024-11-16T20:51:42,4685.51,3010.0,True
CMP00000001,WDR00000002,8860021297fffff,ATM001674,2024-11-16T21:13:36,3876.53,4324.0,True
CMP00000001,WDR00000003,8860021297fffff,ATM001674,2024-11-16T21:40:51,21606.63,5959.0,True
CMP00000001,WDR00000004,8860021297fffff,ATM001674,2024-11-16T21:52:04,4073.57,6632.0,True
CMP00000002,WDR00000005,883d8d5731fffff,ATM000141,2024-01-13T00:44:20,5977.93,12910.0,True
CMP00000003,WDR00000006,8842e81041fffff,ATM001576,2024-07-18T14:42:52,897.95,4317.0,True
CMP00000003,WDR00000007,883c8848c9fffff,ATM001944,2024-07-18T15:02:45,1576.67,5510.0,True
CMP00000003,WDR00000008,883c8848c9fffff,ATM001944,2024-07-18T15:20:44,1137.07,6589.0,True
CMP00000004,,,,,,,False
CMP00000005,WDR00000009,883da5b5d3fffff,ATM001920,2024-11-28T20:27:12,102049.98,1890.0,True
CMP00000006,WDR00000010,88608122edfffff,ATM001842,2024-08-23T11:07:37,2937.35,2579.0,True
CMP00000006,WDR00000011,88608122edfffff,ATM001842,2024-08-23T11:26:42,148.6,3724.0,True
CMP00000007,,,,,,,False
CMP00000008,WDR00000012,883cb524e5fffff,ATM001642,2024-12-26T15:15:20,30089.91,999.0,True
CMP00000009,,,,,,,False
CMP00000010,WDR00000013,88601535adfffff,ATM001502,2024-02-20T12:20:15,12678.9,6401.0,True
CMP00000011,,,,,,,False
CMP00000012,,,,,,,False
CMP00000013,WDR00000014,8860b58719fffff,ATM001598,2024-07-03T21:54:22,306173.32,2437.0,True
CMP00000014,WDR00000015,883da10725fffff,ATM001631,2024-12-19T17:33:19,106156.23,3432.0,True
CMP00000015,,,,,,,False
CMP00000016,WDR00000016,88619bad2bfffff,ATM001615,2024-10-30T11:48:09,12364.03,12683.0,True
CMP00000017,WDR00000017,8842db5727fffff,ATM001991,2024-05-23T13:45:24,26974.08,1140.0,True
CMP00000018,,,,,,,False
CMP00000019,WDR00000018,883d8dcd4bfffff,ATM001104,2024-09-08T14:55:52,5961.33,10147.0,True
CMP00000019,WDR00000019,883d8dc999fffff,ATM000476,2024-09-08T15:02:21,16948.97,10536.0,True
CMP00000020,WDR00000020,8842cd5091fffff,ATM001861,2024-03-07T15:05:27,280.45,3825.0,True
CMP00000020,WDR00000021,8842cd5091fffff,ATM001861,2024-03-07T15:33:27,7192.55,5505.0,True
CMP00000021,WDR00000022,8842dca46bfffff,ATM001796,2024-07-24T18:31:33,3769.93,1835.0,True
CMP00000022,,,,,,,False
CMP00000023,WDR00000023,88609b5551fffff,ATM001904,2024-07-26T06:14:49,35170.03,720.0,True
CMP00000024,,,,,,,False
CMP00000025,WDR00000024,883da2188dfffff,ATM001343,2024-04-11T18:00:48,32016.24,8860.0,True
CMP00000026,WDR00000025,8861194035fffff,ATM001407,2024-11-26T21:30:33,19560.19,2381.0,True
CMP00000026,WDR00000026,8861194035fffff,ATM001407,2024-11-26T21:42:27,15720.05,3095.0,True
CMP00000026,WDR00000027,883da1c517fffff,ATM001860,2024-11-26T21:49:10,1553.29,3498.0,True
CMP00000027,WDR00000028,8842c3595dfffff,ATM001471,2024-12-17T17:24:45,78667.38,7078.0,True
CMP00000028,WDR00000029,883db14a01fffff,ATM001444,2024-01-03T01:16:24,349268.97,399.0,True
CMP00000029,WDR00000030,883da1d5bbfffff,ATM001692,2024-02-09T09:57:37,9925.46,1062.0,True
CMP00000029,WDR00000031,883da11461fffff,ATM000773,2024-02-09T10:27:00,1302.91,2825.0,True
CMP00000029,WDR00000032,883da11733fffff,ATM000067,2024-02-09T10:35:20,830.39,3325.0,True
CMP00000030,WDR00000033,886015926bfffff,ATM001996,2024-05-09T01:18:40,1290.04,9541.0,True
CMP00000031,WDR00000034,88619bce91fffff,ATM001924,2024-02-04T11:13:02,21220.72,2421.0,True
CMP00000032,WDR00000035,883da114a1fffff,ATM000771,2024-07-24T12:47:55,9472.36,4699.0,True
CMP00000032,WDR00000036,883da11425fffff,ATM000690,2024-07-24T13:13:48,10558.15,6252.0,True
CMP00000033,WDR00000037,8860b32439fffff,ATM001442,2024-02-05T20:15:24,9769.79,2862.0,True
CMP00000034,WDR00000038,883d902019fffff,ATM001813,2024-10-16T15:11:50,15072.65,8165.0,True
CMP00000035,WDR00000039,883ca20e47fffff,ATM001900,2024-09-06T13:46:21,19352.98,3929.0,True
CMP00000035,WDR00000040,883ca20e47fffff,ATM001900,2024-09-06T14:11:33,5410.53,5441.0,True
CMP00000035,WDR00000041,88601ea181fffff,ATM001884,2024-09-06T14:28:53,2648.21,6481.0,True
CMP00000035,WDR00000042,883db1b8b7fffff,ATM001742,2024-09-06T14:36:23,17450.09,6931.0,True
CMP00000036,WDR00000043,8860313019fffff,ATM001476,2024-10-02T18:15:20,92825.86,12306.0,True
CMP00000037,WDR00000044,88619a452dfffff,ATM001626,2024-02-10T17:02:16,70499.37,1791.0,True
CMP00000038,WDR00000045,8842c47059fffff,ATM001428,2024-03-15T12:33:32,9002.06,2827.0,True
CMP00000039,WDR00000046,883cf4b593fffff,ATM001750,2024-11-11T19:12:58,34.17,6910.0,True
CMP00000039,WDR00000047,883cf4b593fffff,ATM001750,2024-11-11T19:32:23,790.86,8075.0,True
CMP00000040,WDR00000048,883da1140dfffff,ATM001001,2024-01-08T21:18:50,112.16,1728.0,True
CMP00000040,WDR00000049,883da18583fffff,ATM001761,2024-01-08T21:43:38,11486.69,3216.0,True
CMP00000041,,,,,,,False
CMP00000042,WDR00000050,8860b63acdfffff,ATM001844,2024-02-29T00:27:03,21044.38,1605.0,True
CMP00000043,WDR00000051,883da11487fffff,ATM000588,2024-07-13T09:04:58,10333.11,2738.0,True
CMP00000043,WDR00000052,883da11487fffff,ATM000588,2024-07-13T09:12:07,2544.11,3167.0,True
CMP00000044,WDR00000053,883c12d853fffff,ATM001719,2024-09-21T12:11:41,5274.32,3753.0,True
CMP00000045,,,,,,,False
