complaint_id,incident_date,incident_time,incident_datetime,complaint_registered_at,incident_details,fraud_type,fraud_amount,victim_state,victim_pincode,victim_lat,victim_lon,victim_account_id,source_system,data_version,behavioral_profile
CMP00000001,2024-11-16,19:18:23,2024-11-16T19:18:23,2024-11-16T20:01:32,Phishing email led to unauthorized transfer of INR 78205.,PHISHING,78205.42,Kerala,688566,11.759276,75.073356,ACCT00005001,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000002,2024-01-12,21:05:57,2024-01-12T21:05:57,2024-01-12T21:09:10,Victim reported unauthorized UPI transaction of INR 10775.,DIGITAL_PAYMENT_FRAUD,10774.67,Uttar Pradesh,284456,26.137982,81.214002,ACCT00005002,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000003,2024-07-18,13:12:01,2024-07-18T13:12:01,2024-07-18T13:30:55,Victim lured into fake investment scheme; lost INR 5000.,INVESTMENT_FRAUD,5000.0,Maharashtra,412929,18.878317,76.811269,ACCT00005003,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000004,2024-04-21,14:33:52,2024-04-21T14:33:52,2024-04-21T15:01:26,Fraudulent digital payment of INR 1722 detected from victim account.,DIGITAL_PAYMENT_FRAUD,1721.63,Tamil Nadu,606044,12.409128,79.087917,ACCT00005004,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000005,2024-11-28,19:14:59,2024-11-28T19:14:59,2024-11-28T19:55:42,Victim threatened with digital arrest; paid INR 125872 under duress.,DIGITAL_ARREST,125872.33,Haryana,121556,29.376715,75.628215,ACCT00005005,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000006,2024-08-23,10:22:43,2024-08-23T10:22:43,2024-08-23T10:24:38,Victim reported unauthorized UPI transaction of INR 4752.,DIGITAL_PAYMENT_FRAUD,4752.32,Maharashtra,448924,17.954455,75.015284,ACCT00005006,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000007,2024-10-27,20:37:50,2024-10-27T20:37:50,2024-10-27T21:52:50,Victim reported unauthorized UPI transaction of INR 1690.,DIGITAL_PAYMENT_FRAUD,1690.49,Uttar Pradesh,233634,24.67475,81.974188,ACCT00005007,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000008,2024-12-26,13:42:08,2024-12-26T13:42:08,2024-12-26T14:58:41,Fraudulent digital payment of INR 51333 detected from victim account.,DIGITAL_PAYMENT_FRAUD,51333.33,Odisha,779933,21.48673,81.898882,ACCT00005008,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000009,2024-07-12,00:23:10,2024-07-12T00:23:10,2024-07-12T01:48:50,Victim reported unauthorized UPI transaction of INR 8569.,DIGITAL_PAYMENT_FRAUD,8568.94,Tamil Nadu,648144,11.136281,78.515036,ACCT00005009,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000010,2024-02-20,10:09:08,2024-02-20T10:09:08,2024-02-20T10:33:34,Victim shared OTP after phishing call; INR 19169 debited.,PHISHING,19169.48,Delhi,113181,28.714503,77.325277,ACCT00005010,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000011,2024-03-29,11:30:04,2024-03-29T11:30:04,2024-03-29T12:15:28,Fraudulent digital payment of INR 91354 detected from victim account.,DIGITAL_PAYMENT_FRAUD,91353.65,Bihar,804254,25.499105,87.476933,ACCT00005011,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000012,2024-08-25,13:48:53,2024-08-25T13:48:53,2024-08-25T15:41:06,Fraudulent trading platform collected INR 8051 from victim.,INVESTMENT_FRAUD,8051.23,Karnataka,575935,16.788916,77.945272,ACCT00005012,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000013,2024-07-03,19:39:56,2024-07-03T19:39:56,2024-07-03T21:13:45,Victim reported loss of INR 397034 via online fraud.,OTHER,397034.0,Telangana,526840,17.02969,79.027466,ACCT00005013,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000014,2024-12-19,15:34:15,2024-12-19T15:34:15,2024-12-19T16:36:07,Fake police/CBI call led victim to transfer INR 183354.,DIGITAL_ARREST,183354.22,Delhi,114524,28.489735,77.396392,ACCT00005014,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000015,2024-10-10,19:11:56,2024-10-10T19:11:56,2024-10-10T21:00:11,Victim reported loss of INR 17532 via online fraud.,OTHER,17532.21,Maharashtra,427406,19.306342,74.104255,ACCT00005015,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000016,2024-10-30,07:29:12,2024-10-30T07:29:12,2024-10-30T08:16:46,Victim reported loss of INR 23827 via online fraud.,OTHER,23827.15,Telangana,527238,16.083143,79.93675,ACCT00005016,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000017,2024-05-23,12:45:39,2024-05-23T12:45:39,2024-05-23T13:26:24,Impersonation of law enforcement; victim coerced into transferring INR 36087.,DIGITAL_ARREST,36086.64,Maharashtra,416508,19.906746,73.356579,ACCT00005017,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000018,2024-11-08,13:05:22,2024-11-08T13:05:22,2024-11-08T13:31:13,Victim reported loss of INR 65503 via online fraud.,OTHER,65502.91,Gujarat,376426,22.78388,71.559002,ACCT00005018,SYNTHETIC,2.0.0,NO_CASHOUT
